Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18551,0,31,26.38114051932532,2.9354169999999957,67.19137500000016,7354.0,639.4863924576891,0.0,31,31,31,31,31,32,32,32,35,66,67
,Aggregated,18551,0,31,26.38114051932532,2.9354169999999957,67.19137500000016,7354.0,639.4863924576891,0.0,31,31,31,31,31,32,32,32,35,66,67
