Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,58586,0,9,8.297180436486503,0.8923329999999119,32.055833000001144,7354.0,2019.4031683923045,0.0,9,9,10,10,11,11,13,16,21,29,32
,Aggregated,58586,0,9,8.297180436486503,0.8923329999999119,32.055833000001144,7354.0,2019.4031683923045,0.0,9,9,10,10,11,11,13,16,21,29,32
