Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,16597,0,33,29.48757561914809,3.0161249999999806,67.67791699999925,7354.0,572.0609628368704,0.0,33,34,36,36,39,41,44,46,56,67,68
,Aggregated,16597,0,33,29.48757561914809,3.0161249999999806,67.67791699999925,7354.0,572.0609628368704,0.0,33,34,36,36,39,41,44,46,56,67,68
