Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,16087,0,34,30.42129495064327,3.328042000000142,57.49391600000031,7354.0,554.5269724870047,0.0,34,36,37,38,40,42,45,46,52,57,57
,Aggregated,16087,0,34,30.42129495064327,3.328042000000142,57.49391600000031,7354.0,554.5269724870047,0.0,34,36,37,38,40,42,45,46,52,57,57
